timestamp,aep,comed,dayton,pjme
2012-01-01,14397.3750000000,9894.0000000000,1715.1250000000,26920.9166666667
2012-01-02,16882.9583333333,11217.8333333333,2061.1666666667,30463.1666666667
2012-01-03,19687.3333333333,12487.8333333333,2352.0833333333,36219.2083333333
2012-01-04,19357.4583333333,12119.5416666667,2323.2083333333,39069.1666666667
2012-01-05,17448.5416666667,11694.0000000000,2155.8333333333,35579.5833333333
2012-01-06,16284.5000000000,11097.0833333333,2000.5833333333,32896.0000000000
2012-01-07,14801.3750000000,10237.4583333333,1759.2916666667,28616.2500000000
2012-01-08,15274.5416666667,10038.3750000000,1789.0833333333,28628.4583333333
2012-01-09,16948.6666666667,11520.1250000000,2069.0833333333,33667.4166666667
2012-01-10,16871.5000000000,11341.7083333333,2067.2500000000,32955.2500000000
2012-01-11,16996.7500000000,11225.0833333333,2098.7500000000,33382.8333333333
2012-01-12,16620.1250000000,11906.7500000000,2112.7500000000,31383.8333333333
2012-01-13,19632.1250000000,12505.1250000000,2492.7083333333,33213.2916666667
2012-01-14,18115.5833333333,11546.4583333333,2200.1666666667,33361.9166666667
2012-01-15,17321.4166666667,10969.1666666667,2090.9166666667,33721.9583333333
2012-01-16,18295.1666666667,11643.2916666667,2225.8750000000,36475.2083333333
2012-01-17,16330.7083333333,12054.7916666667,2069.7083333333,33356.8750000000
2012-01-18,17771.8333333333,12655.4166666667,2271.2083333333,33058.9583333333
2012-01-19,18900.9166666667,12867.8750000000,2361.0833333333,35892.5416666667
2012-01-20,18410.7916666667,13250.9166666667,2457.0000000000,34871.9583333333
2012-01-21,17023.8750000000,11651.8333333333,2204.9583333333,34544.9166666667
2012-01-22,16371.8333333333,11147.2083333333,2016.3333333333,34118.5833333333
2012-01-23,16400.7500000000,11948.3750000000,2057.5833333333,34670.9583333333
2012-01-24,16533.7083333333,12041.4583333333,2216.5833333333,31554.1250000000
2012-01-25,16953.0833333333,12116.7083333333,2263.5416666667,32301.0833333333
2012-01-26,16550.2083333333,11872.2916666667,2176.3750000000,32818.0000000000
2012-01-27,15985.5000000000,11433.7500000000,2138.3750000000,30915.3750000000
2012-01-28,16070.3750000000,10768.6250000000,1975.6250000000,29269.9583333333
2012-01-29,16118.6250000000,10527.4583333333,1945.0833333333,29714.4583333333
2012-01-30,17265.9583333333,11745.4166666667,2163.7500000000,33116.7083333333
2012-01-31,15885.2916666667,11138.2083333333,1985.5833333333,31619.2500000000
2012-02-01,15160.7500000000,11136.3750000000,1902.3333333333,29476.2916666667
2012-02-02,15497.1250000000,11331.1666666667,1995.2500000000,30738.7916666667
2012-02-03,16185.1250000000,11390.4583333333,2021.1250000000,31681.5833333333
2012-02-04,15382.2916666667,10394.7083333333,1866.2916666667,30544.1666666667
2012-02-05,14746.0833333333,9858.0416666667,1748.0000000000,29710.5000000000
2012-02-06,16801.8333333333,11645.4166666667,2055.5000000000,32595.0416666667
2012-02-07,16905.4583333333,11979.7916666667,2159.5000000000,31620.2083333333
2012-02-08,17540.7083333333,11863.0416666667,2202.2916666667,33546.5000000000
2012-02-09,17784.0000000000,11977.6250000000,2237.3750000000,33169.4166666667
