selection_strategy,comparison_family,fixed_k,series_count,mean_validation_rmse,sd_validation_rmse,mean_test_rmse,sd_test_rmse,mean_rule_count,mean_dimension,mean_gaussian_kl,mean_certificate,sd_certificate
certificate,fixed_k_tsk,2.0,30,0.8728771732814972,0.42287935488896045,0.9098287456050377,0.4629074836515493,2.0,9.066666666666666,2.3324631593670277,0.1130725572779462,0.014095664501223138
certificate,fixed_k_tsk,3.0,30,0.8763469146341947,0.4201188211279486,0.9106383331092969,0.4591266900235046,3.0,13.8,3.9558728370489984,0.1199938769284877,0.015174117435868504
certificate,fixed_k_tsk,4.0,30,0.8740371298321675,0.41941338609280593,0.9099220531138321,0.45954166942506625,4.0,19.733333333333334,5.44379244446536,0.12589120530035036,0.016855356653469836
certificate,fixed_k_tsk,6.0,30,0.8722588440237864,0.41636484793044226,0.9038475167770132,0.452117715849995,6.0,30.4,8.766725171699964,0.13837050478196464,0.021653043049910448
certificate,fixed_k_tsk,8.0,30,0.8744046521642791,0.4149265205086037,0.908763177762755,0.4510275525802255,8.0,44.8,12.210756980880525,0.14820952813097027,0.025464139583426283
certificate,fixed_k_tsk,12.0,30,0.8844412904033108,0.40911397272060934,0.9187964167119846,0.4466135400465701,12.0,75.2,16.665108723930107,0.16787234634739173,0.03213875027858653
certificate,radius_tsk,,30,0.8640427273995913,0.4272116788783369,0.902139547206193,0.46849272596436375,1.0,4.933333333333334,1.0880220858548413,0.11138446547516269,0.011768366974500106
validation_rmse,fixed_k_tsk,2.0,30,0.8444383355920854,0.41054476285762603,0.8849556921828463,0.4562674954037331,2.0,23.666666666666668,10.180391087504974,0.13256787294617955,0.025827488576689712
validation_rmse,fixed_k_tsk,3.0,30,0.844016718394398,0.4130913176307652,0.8846067548775275,0.4587199192508262,3.0,34.3,13.469229595673353,0.14647709051362737,0.034168320779453996
validation_rmse,fixed_k_tsk,4.0,30,0.8450403165932368,0.41380886635060604,0.8868838021058447,0.4622982844468479,4.0,41.86666666666667,17.29407694974321,0.15684333657676044,0.038915548996042514
validation_rmse,fixed_k_tsk,6.0,30,0.8463678559919625,0.4131840074799878,0.8949754368602001,0.4604438726931241,6.0,60.0,21.010619735006507,0.170127074203538,0.045126771221968884
validation_rmse,fixed_k_tsk,8.0,30,0.8525525393205378,0.41610945299437135,0.8950926190223741,0.46169295399294213,8.0,82.93333333333334,26.413176070212057,0.18752241271073442,0.05561988567011417
validation_rmse,fixed_k_tsk,12.0,30,0.8610465514193252,0.4174844209184844,0.9148939164417914,0.4818218465925031,12.0,135.6,39.54653561564625,0.22207941829727632,0.07070869715566168
validation_rmse,radius_tsk,,30,0.8355048097781104,0.4108515034224608,0.8814247309743823,0.4595817966272419,3.8,39.7,16.629777994754328,0.1589430461584992,0.0525413912598443
