comparison,selection_strategy,metric,paired_series,mean_delta_left_minus_right,median_delta_left_minus_right,left_lower_count,ties_count,left_higher_count
radius_dense_vs_fixed_k_dense,certificate,test_rmse_scaled,30,-0.016656869505791615,-0.018106561175326163,21,0,9
radius_dense_vs_fixed_k_dense,certificate,consequent_dimension,30,-70.26666666666667,-44.0,30,0,0
radius_dense_vs_fixed_k_dense,certificate,localized_gaussian_kl,30,-15.577086638075265,-10.657973708855454,30,0,0
radius_dense_vs_fixed_k_dense,certificate,localized_total_kl,30,-20.803810351436294,-15.884697422216485,30,0,0
radius_dense_vs_fixed_k_dense,certificate,localized_certificate_familywise,30,-0.05648788087222905,-0.0528215999233904,30,0,0
top3_vs_all_active_radius_tsk,certificate,test_rmse_scaled,30,0.0,0.0,0,30,0
top3_vs_all_active_radius_tsk,certificate,consequent_dimension,30,0.0,0.0,0,30,0
top3_vs_all_active_radius_tsk,certificate,localized_gaussian_kl,30,0.0,0.0,0,30,0
top3_vs_all_active_radius_tsk,certificate,localized_total_kl,30,0.0,0.0,0,30,0
top3_vs_all_active_radius_tsk,certificate,localized_certificate_familywise,30,0.0,0.0,0,30,0
radius_dense_vs_fixed_k_dense,validation_rmse,test_rmse_scaled,30,-0.03346918546740912,-0.013228500023198975,24,0,6
radius_dense_vs_fixed_k_dense,validation_rmse,consequent_dimension,30,-95.9,-81.0,29,1,0
radius_dense_vs_fixed_k_dense,validation_rmse,localized_gaussian_kl,30,-22.916757620891918,-9.336354105330155,27,0,3
radius_dense_vs_fixed_k_dense,validation_rmse,localized_total_kl,30,-26.202669228685103,-14.11298549829844,27,0,3
radius_dense_vs_fixed_k_dense,validation_rmse,localized_certificate_familywise,30,-0.06313637213877712,-0.05875166206584191,28,0,2
top3_vs_all_active_radius_tsk,validation_rmse,test_rmse_scaled,30,0.003039538800724448,0.0,9,14,7
top3_vs_all_active_radius_tsk,validation_rmse,consequent_dimension,30,0.5333333333333333,0.0,1,28,1
top3_vs_all_active_radius_tsk,validation_rmse,localized_gaussian_kl,30,0.2008644589527009,0.0,6,13,11
top3_vs_all_active_radius_tsk,validation_rmse,localized_total_kl,30,0.03913011682204761,0.0,6,13,11
top3_vs_all_active_radius_tsk,validation_rmse,localized_certificate_familywise,30,-1.5416151236371614e-05,0.0,7,13,10
