zone,candidate_id,family,lag,radius,ridge_alpha,rule_count,consequent_dimension,validation_rmse,validation_mae,clip_bound_scaled,clip_lower_original,clip_upper_original,certification_target_clipping_rate,certificate_sample_size,selection_uses_test,certificate_uses_test,prior_scale,posterior_ratio,empirical_gibbs_risk,gaussian_kl,structure_kl,prior_scale_penalty,total_kl,temperature,certificate,certificate_untruncated,effective_rule_count,minimum_hard_rule_support,maximum_hard_rule_support,mean_active_rules,maximum_active_rules,rule_usage_entropy,realized_covering_radius,validation_rmse_raw,validation_mae_raw,validation_rmse_clipped,validation_mae_clipped,validation_weighted_cost,validation_normalized_weighted_cost,validation_target_clipping_rate,validation_forecast_clipping_rate,validation_block_rmse_improvements,validation_block_cost_improvements,validation_rmse_nonnegative_blocks,validation_cost_nonnegative_blocks,validation_worst_block_rmse_improvement,validation_worst_block_cost_improvement,seasonal_validation_rmse,seasonal_validation_mae,seasonal_validation_weighted_cost,seasonal_validation_normalized_weighted_cost,validation_rmse_improvement_vs_fallback,validation_cost_improvement_vs_fallback
comed,ridge|p=7|r=none|a=0.0001|k=1,ridge,7,,0.0001,1,8,855.3254725888164,630.8602884193552,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,4.0,1.0,0.00419267690651454,0.34680024012093913,3.8066624897703196,1.6094379124341003,5.762900642325359,0.25,0.06850829116199181,0.06850829116199181,1,474,474,1.0,1,0.0,,855.3254725888162,630.8602884193551,855.3254725888162,630.8602884193551,947.6038783258675,0.08306458566719402,0.0,0.0,"[0.36762554180873336, 0.4513254294656733, 0.4366469336519107, 0.30683125771099756]","[0.35881655435671383, 0.38789361449147997, 0.4583998658398295, 0.28579244334920606]",4,4,0.30683125771099756,0.28579244334920606,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,0.40228963358237185,0.3783113818309829
comed,ridge|p=7|r=none|a=0.001|k=1,ridge,7,,0.001,1,8,855.3254930471895,630.8600241810443,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,4.0,1.0,0.004192594215252415,0.3468327174867907,3.8066624897703196,1.6094379124341003,5.762933119691211,0.25,0.06850829843573206,0.06850829843573206,1,474,474,1.0,1,0.0,,855.3254930471893,630.8600241810441,855.3254930471893,630.8600241810441,947.6034814488485,0.08306455087794726,0.0,0.0,"[0.3676259376077594, 0.4513248760754108, 0.43664691637910624, 0.30683137427050555]","[0.3588170962898649, 0.3878930161543363, 0.45840032837285605, 0.28579363172676503]",4,4,0.30683137427050555,0.28579363172676503,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,0.40228961928584717,0.3783116422076352
comed,ridge|p=7|r=none|a=0.01|k=1,ridge,7,,0.01,1,8,855.3256995226003,630.8573824533055,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,4.0,1.0,0.004191767734967781,0.3471575663873703,3.8066624897703196,1.6094379124341003,5.76325796859179,0.25,0.06850837181389777,0.06850837181389777,1,474,474,1.0,1,0.0,,855.3256995226002,630.8573824533054,855.3256995226002,630.8573824533054,947.5995136623025,0.08306420307170354,0.0,0.0,"[0.3676298936980348, 0.45131934169695226, 0.4366467422939821, 0.30683253821952955]","[0.35882251442413277, 0.3878870331780371, 0.4584049528275907, 0.2858055141930942]",4,4,0.30683253821952955,0.2858055141930942,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,0.4022894749986753,0.3783142453288248
comed,ridge|p=7|r=none|a=0.1|k=1,ridge,7,,0.1,1,8,855.3279529119052,630.8310305983631,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,4.0,1.0,0.004183545932167317,0.3504134590124576,3.8066624897703196,1.6094379124341003,5.766513861216878,0.25,0.0685091691042416,0.0685091691042416,1,474,474,1.0,1,0.0,,855.327952911905,630.8310305983628,855.327952911905,630.8310305983628,947.559933989269,0.08306073361656878,0.0,0.0,"[0.36766926506781106, 0.4512639505502838, 0.43664486611697545, 0.3068440135659855]","[0.35887657627530034, 0.38782724286017844, 0.45845110998460326, 0.2859242080902373]",4,4,0.3068440135659855,0.2859242080902373,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,0.40228790030671274,0.37834021212022206
comed,ridge|p=7|r=none|a=1|k=1,ridge,7,,1.0,1,8,855.3688299612717,630.5739418129464,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,4.0,1.0,0.0041054065085659956,0.3835990482412598,3.8066624897703196,1.6094379124341003,5.79969945044568,0.25,0.06852295652060925,0.06852295652060925,1,474,474,1.0,1,0.0,,855.3688299612714,630.5739418129463,855.3688299612714,630.5739418129463,947.1737877322462,0.08302688500157239,0.0,0.0,"[0.3680444810140882, 0.45070551799906494, 0.4366129450033036, 0.3069428034404664]","[0.3594054738229555, 0.38723321674002825, 0.45890410219636735, 0.2870982285537202]",4,4,0.3069428034404664,0.2870982285537202,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,0.40225933499802274,0.3785935487078306
comed,fixed_k_dense_tsk|p=7|r=none|a=0.0001|k=8,fixed_k_dense_tsk,7,,0.0001,8,64,1698.2667235716667,822.4699935187731,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,8.0,0.3,0.013196165785577902,112.8109240900736,9.347926034928745,1.6094379124341003,123.76828803743645,1.0,0.22818375175603384,0.22818375175603384,8,2,986,3.1426592797783934,7,0.510565833504148,1.147175714103193,1698.2667235644292,822.4699935176624,1448.3272186634372,789.2249340786789,1204.9066060337218,0.10561909916902877,0.0,0.00554016620498615,"[0.3763551386007314, -0.4445953775707044, 0.4568829490873959, 0.3233614377660634]","[0.3762988779718388, -0.20789659541928365, 0.4764174153904168, 0.3472727993978891]",3,3,-0.4445953775707044,-0.20789659541928365,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,-0.01210617513797464,0.20950437196266103
comed,fixed_k_dense_tsk|p=7|r=none|a=0.001|k=8,fixed_k_dense_tsk,7,,0.001,8,64,1092.6432034261416,706.3835299896166,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,8.0,0.3,0.012151556809329637,60.52580165994348,9.347926034928745,1.6094379124341003,71.48316560730633,0.5,0.18220966167249897,0.18220966167249897,8,2,986,3.1426592797783934,7,0.510565833504148,1.147175714103193,1092.6432034258912,706.3835299894012,1092.6432034258912,706.3835299894012,1077.455861240636,0.0944470856817936,0.0,0.0,"[0.37667008751446124, 0.03984910988769467, 0.45648250868979806, 0.32343870716751993]","[0.3772583097320552, 0.05744526146786455, 0.47587587550884797, 0.3473271768615183]",4,4,0.03984910988769467,0.05744526146786455,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,0.23644952662671362,0.29312019417205243
comed,fixed_k_dense_tsk|p=7|r=none|a=0.01|k=8,fixed_k_dense_tsk,7,,0.01,8,64,960.1510640373037,669.7151975531395,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,4.0,1.0,0.025818615409348246,16.634262878914683,9.347926034928745,1.6094379124341003,27.591626826277526,0.5,0.1350851153126439,0.1350851153126439,8,2,986,3.1426592797783934,7,0.510565833504148,1.147175714103193,960.1510640372402,669.7151975531071,960.1510640372402,669.7151975531071,1017.7794776098962,0.0892160031653718,0.0,0.0,"[0.37671937399751526, 0.2443123798095358, 0.4558385585042575, 0.32353794595283786]","[0.37882717386929216, 0.18075427707732344, 0.4751717408030287, 0.3474717963829525]",4,4,0.2443123798095358,0.18075427707732344,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,0.3290364163188394,0.3322717102488584
comed,fixed_k_dense_tsk|p=7|r=none|a=0.1|k=8,fixed_k_dense_tsk,7,,0.1,8,64,936.5935744645433,664.7236598012979,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,4.0,1.0,0.022477869670683118,9.998403649342006,9.347926034928745,1.6094379124341003,20.955767596704852,0.5,0.12255342881279778,0.12255342881279778,8,2,986,3.1426592797783934,7,0.510565833504148,1.147175714103193,936.5935744645388,664.7236598012961,936.5935744645388,664.7236598012961,1010.8174565723132,0.08860572981580003,0.0,0.0,"[0.37739519528439747, 0.2829619155435324, 0.45519120004904523, 0.32369919520991675]","[0.3808516677776294, 0.19348090825928108, 0.4744221670416118, 0.3478507251595439]",4,4,0.2829619155435324,0.19348090825928108,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,0.3454986358780922,0.3368392403503236
comed,fixed_k_dense_tsk|p=7|r=none|a=1|k=8,fixed_k_dense_tsk,7,,1.0,8,64,923.1198458868434,660.76638573556,5.527966439898821,1315.6536889105155,21779.60329382472,0.0,1444,False,False,4.0,1.0,0.014135123964852716,7.562848051742351,9.347926034928745,1.6094379124341003,18.520211999105197,0.5,0.11083733740392077,0.11083733740392077,8,2,986,3.1426592797783934,7,0.510565833504148,1.147175714103193,923.1198458868419,660.7663857355593,923.1198458868419,660.7663857355593,1006.6369657844432,0.08823927845028491,0.0,0.0,"[0.383396851684474, 0.3010192828493322, 0.4513728398382744, 0.32476303859156996]","[0.385185530583367, 0.1998836063598385, 0.4696416582869464, 0.3499276190037609]",4,4,0.3010192828493322,0.1998836063598385,1431.003242783293,1018.5441557268427,1524.2419607370784,0.13361123758680657,0.3549142180199542,0.33958190909685804
