zone,candidate_id,family,lag,radius,ridge_alpha,rule_count,consequent_dimension,validation_rmse,validation_mae,clip_bound_scaled,clip_lower_original,clip_upper_original,certification_target_clipping_rate,certificate_sample_size,selection_uses_test,certificate_uses_test,prior_scale,posterior_ratio,empirical_gibbs_risk,gaussian_kl,structure_kl,prior_scale_penalty,total_kl,temperature,certificate,certificate_untruncated,effective_rule_count,minimum_hard_rule_support,maximum_hard_rule_support,mean_active_rules,maximum_active_rules,rule_usage_entropy,realized_covering_radius,validation_rmse_raw,validation_mae_raw,validation_rmse_clipped,validation_mae_clipped,validation_weighted_cost,validation_normalized_weighted_cost,validation_target_clipping_rate,validation_forecast_clipping_rate,validation_block_rmse_improvements,validation_block_cost_improvements,validation_rmse_nonnegative_blocks,validation_cost_nonnegative_blocks,validation_worst_block_rmse_improvement,validation_worst_block_cost_improvement,seasonal_validation_rmse,seasonal_validation_mae,seasonal_validation_weighted_cost,seasonal_validation_normalized_weighted_cost,validation_rmse_improvement_vs_fallback,validation_cost_improvement_vs_fallback
dayton,ridge|p=7|r=none|a=0.0001|k=1,ridge,7,,0.0001,1,8,153.23653568702505,122.4603670570686,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.006325415168172626,0.817097452031379,3.8066624897703196,1.6094379124341003,6.233197854235799,0.25,0.07194379178351262,0.07194379178351262,1,474,474,1.0,1,0.0,,153.23653568702505,122.46036705706858,153.23653568702505,122.46036705706858,184.42098410974762,0.09126858266668622,0.0,0.0,"[0.3955393453747379, 0.4184395741097972, 0.46691390256252446, 0.40147741883618027]","[0.35896361186905734, 0.33615547879840396, 0.45676477291090695, 0.3904517715823521]",4,4,0.3955393453747379,0.33615547879840396,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.4197181215808194,0.38437849268601304
dayton,ridge|p=7|r=none|a=0.001|k=1,ridge,7,,0.001,1,8,153.23654572379382,122.46035513717334,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.006325369792081294,0.8171910847794001,3.8066624897703196,1.6094379124341003,6.23329148698382,0.25,0.0719440057779144,0.0719440057779144,1,474,474,1.0,1,0.0,,153.23654572379382,122.46035513717331,153.23654572379382,122.46035513717331,184.4209686711975,0.09126857502626182,0.0,0.0,"[0.39553913475587293, 0.4184395969062206, 0.4669136441745548, 0.40147770720538334]","[0.3589638116983531, 0.33615522513133994, 0.4567647059726457, 0.3904521449483666]",4,4,0.39553913475587293,0.33615522513133994,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.41971808357320584,0.38437854422192447
dayton,ridge|p=7|r=none|a=0.01|k=1,ridge,7,,0.01,1,8,153.23664625329423,122.46023595472677,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.006324916247063926,0.8181281555317033,3.8066624897703196,1.6094379124341003,6.234228557736124,0.25,0.07194614799675383,0.07194614799675383,1,474,474,1.0,1,0.0,,153.23664625329425,122.46023595472677,153.23664625329425,122.46023595472677,184.4208143107479,0.0912684986344156,0.0,0.0,"[0.395537028226172, 0.4184398240291403, 0.466911059997491, 0.40148058998774266]","[0.3589658098368711, 0.33615268839527845, 0.45676403666989623, 0.3904558784068734]",4,4,0.395537028226172,0.33615268839527845,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.4197177028843115,0.38437905949741286
dayton,ridge|p=7|r=none|a=0.1|k=1,ridge,7,,0.1,1,8,153.23766769621824,122.45904577905492,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.006320402286121417,0.8275727333585856,3.8066624897703196,1.6094379124341003,6.2436731355630055,0.25,0.07196779630125977,0.07196779630125977,1,474,474,1.0,1,0.0,,153.23766769621824,122.45904577905492,153.23766769621824,122.45904577905492,184.41927320873398,0.09126773595441348,0.0,0.0,"[0.39551592890757353, 0.4184420113002169, 0.4668851885671603, 0.40150932700121944]","[0.35898577579148794, 0.33612731452185285, 0.4567573516126423, 0.39049319283446593]",4,4,0.39551592890757353,0.33612731452185285,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.4197138348458181,0.38438420389868205
dayton,ridge|p=7|r=none|a=1|k=1,ridge,7,,1.0,1,8,153.2494641294702,122.44730709601518,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.006277315789909673,0.9289642088203387,3.8066624897703196,1.6094379124341003,6.345064611024759,0.25,0.07220557261796146,0.07220557261796146,1,474,474,1.0,1,0.0,,153.24946412947023,122.44730709601515,153.24946412947023,122.44730709601515,184.40410978788458,0.09126023168945152,0.0,0.0,"[0.39530161563764543, 0.4184556585798115, 0.4666235839972114, 0.4017877706805912]","[0.3591839056643487, 0.33587295338635065, 0.4566912825076662, 0.39086432787357356]",4,4,0.39530161563764543,0.33587295338635065,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.41966916366857293,0.38443482139237134
dayton,fixed_k_dense_tsk|p=7|r=none|a=0.0001|k=8,fixed_k_dense_tsk,7,,0.0001,8,64,156.03008798070474,121.4412948049023,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.030890457625732032,12.276338448603209,9.347926034928745,1.6094379124341003,23.233702395966056,0.5,0.1341210511158539,0.1341210511158539,8,22,509,4.430747922437673,8,0.8463892595473609,1.1377142371357403,156.030087980705,121.44129480490254,156.030087980705,121.44129480490254,184.29208155701988,0.09120478974558036,0.0,0.0,"[0.39486143380174205, 0.41225504241777927, 0.4558154239053715, 0.37468888514432475]","[0.35968835166399776, 0.3217590974823568, 0.46509464371853676, 0.39939292007721683]",4,4,0.37468888514432475,0.3217590974823568,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.4091393926558215,0.38480878636538984
dayton,fixed_k_dense_tsk|p=7|r=none|a=0.001|k=8,fixed_k_dense_tsk,7,,0.001,8,64,156.02023333771595,121.43543188992429,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.03083947934992917,12.271409079640142,9.347926034928745,1.6094379124341003,23.228773027002987,0.5,0.13406324545921577,0.13406324545921577,8,22,509,4.430747922437673,8,0.8463892595473609,1.1377142371357403,156.0202333377162,121.43543188992462,156.0202333377162,121.43543188992462,184.28178223690372,0.09119969268813882,0.0,0.0,"[0.39491863760199764, 0.41225706909960175, 0.4558527717778169, 0.3747488569292993]","[0.3597451698181911, 0.321760831740803, 0.4651198684983776, 0.3994515174039516]",4,4,0.3747488569292993,0.321760831740803,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.40917671058864374,0.3848431668509123
dayton,fixed_k_dense_tsk|p=7|r=none|a=0.01|k=8,fixed_k_dense_tsk,7,,0.01,8,64,155.9266356808429,121.37898795832162,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.03036522258798972,12.226252462739819,9.347926034928745,1.6094379124341003,23.183616410102665,0.5,0.13352644490655566,0.13352644490655566,8,22,509,4.430747922437673,8,0.8463892595473609,1.1377142371357403,155.92663568084316,121.37898795832186,155.92663568084316,121.37898795832186,184.18251948974432,0.09115056828785123,0.0,0.0,"[0.395451589430072, 0.41227821918061697, 0.45620952362567974, 0.37532571449962554]","[0.3602921079244203, 0.3217794845069851, 0.4653607191320797, 0.4000170436577276]",4,4,0.37532571449962554,0.3217794845069851,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.4095311497170306,0.38517451895990024
dayton,fixed_k_dense_tsk|p=7|r=none|a=0.1|k=8,fixed_k_dense_tsk,7,,0.1,8,64,155.30545476139304,121.00334778772212,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.02728770689981203,11.900934464619912,9.347926034928745,1.6094379124341003,22.85829841198276,0.5,0.12999835027361353,0.12999835027361353,8,22,509,4.430747922437673,8,0.8463892595473609,1.1377142371357403,155.30545476139335,121.00334778772239,155.30545476139335,121.00334778772239,183.5058665016086,0.09081569772264714,0.0,0.0,"[0.3983674763796837, 0.4125480701398806, 0.4586251506517267, 0.3796347712574497]","[0.36342277647887367, 0.32206269046705954, 0.46698738519513716, 0.4043084832937196]",4,4,0.3796347712574497,0.32206269046705954,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.4118834609929309,0.38743327565451113
dayton,fixed_k_dense_tsk|p=7|r=none|a=1|k=8,fixed_k_dense_tsk,7,,1.0,8,64,154.35564567945,119.99371095456367,4.2186945238718385,875.777108944226,3107.830321228419,0.0,1444,False,False,2.0,1.0,0.018283290839948948,10.751492505111816,9.347926034928745,1.6094379124341003,21.708856452474663,0.5,0.11940190933908551,0.11940190933908551,8,22,509,4.430747922437673,8,0.8463892595473609,1.1377142371357403,154.35564567945022,119.99371095456387,154.35564567945022,119.99371095456387,181.717867446423,0.08993083019868332,0.0,0.0,"[0.3951984589210197, 0.414068688207424, 0.460728795269164, 0.3948152138380986]","[0.37098808415159445, 0.3255155609376982, 0.4681856838697333, 0.4164575789744336]",4,4,0.3948152138380986,0.3255155609376982,264.072585041732,200.5554719177767,299.56878036050637,0.14825437640231157,0.41548023375824095,0.39340185172920716
