region,family,candidate_id,lag,radius,ridge_alpha,rule_count,consequent_dimension,certificate,certificate_untruncated,total_kl,validation_rmse,validation_weighted_cost,test_rmse_raw,test_mae_raw,test_rmse_clipped,test_mae_clipped,test_weighted_cost,test_normalized_weighted_cost,test_target_clipping_rate,test_forecast_clipping_rate
aep,ridge,ridge|p=28|r=none|a=0.0001|k=1,28,,0.0001,1,29,0.09585332422796711,0.09585332422796711,10.553348462319715,803.141876589908,869.5068717247962,711.5674308846682,550.2998791577076,711.5674308846682,550.2998791577076,822.3435617087079,0.0556494077433481,0.0,0.0
aep,fixed_k_dense_tsk,fixed_k_dense_tsk|p=7|r=none|a=0.0001|k=8,7,,0.0001,8,64,0.15938718543761715,0.15938718543761715,23.216775010217958,867.7273580432976,965.2599632433606,835.1330386420269,659.7176980847306,835.1330386420269,659.7176980847306,986.6527101967673,0.0667684913307177,0.0,0.0
aep,dense_tsk,dense_tsk|p=28|r=2|a=0.0001|k=1,28,2.0,0.0001,1,29,0.10277729738928032,0.10277729738928032,13.04001634290616,803.1418767283972,869.50686683894,711.5674309268011,550.299880639812,711.5674309268011,550.299880639812,822.3435607008171,0.0556494076751424,0.0,0.0
comed,ridge,ridge|p=28|r=none|a=0.0001|k=1,28,,0.0001,1,29,0.08409788967628062,0.08409788967628062,7.641302990520422,756.651642230009,761.8588085853652,751.8869098017104,538.6663802485549,751.8869098017104,538.6663802485549,812.1571023550385,0.0719717407124815,0.0,0.0
comed,fixed_k_dense_tsk,fixed_k_dense_tsk|p=14|r=none|a=1|k=8,14,,1.0,8,120,0.11691209941791679,0.11691209941791679,17.583562308787137,932.069944937824,956.4772296649841,805.861960085845,584.9500062981414,805.861960085845,584.9500062981414,884.198453054775,0.07835590136083811,0.0,0.0
comed,dense_tsk,dense_tsk|p=28|r=2|a=0.0001|k=2,28,2.0,0.0001,2,58,0.11495088703502458,0.11495088703502458,13.364863236930749,809.1741585644817,843.9071622843537,813.9917444360927,573.3718336483604,813.9917444360927,573.3718336483604,863.271609884296,0.07650140630535061,0.0,0.0
dayton,ridge,ridge|p=28|r=none|a=1|k=1,28,,1.0,1,29,0.10193791854770196,0.10193791854770196,15.228147075386516,136.45016963705467,150.15658695658254,120.93648716320104,91.80389942510241,120.93648716320104,91.80389942510241,138.89897238582932,0.06901095374910693,0.0,0.0
dayton,fixed_k_dense_tsk,fixed_k_dense_tsk|p=28|r=none|a=1|k=8,28,,1.0,8,232,0.1969318843610129,0.1969318843610129,53.3197768986825,148.1964070687592,170.8909265444104,133.2292698828976,102.61296584018073,133.2292698828976,102.61296584018073,156.92753568246877,0.07796831553844558,0.0,0.0
dayton,dense_tsk,dense_tsk|p=28|r=2|a=1|k=1,28,2.0,1.0,1,29,0.10695898872133475,0.10695898872133475,17.697518847217797,136.44822208845878,150.1536987656716,120.93570516320723,91.80430350396938,120.93570516320723,91.80430350396938,138.89679832440055,0.06900987358234881,0.0,0.0
pjme,ridge,ridge|p=28|r=none|a=0.0001|k=1,28,,0.0001,1,29,0.09593204983856893,0.09593204983856893,13.456158300331936,1928.989680728593,2149.2434431635847,2139.2409843008018,1615.875978266299,2139.2409843008018,1615.875978266299,2426.9146039506713,0.07787351637367076,0.0,0.0
pjme,fixed_k_dense_tsk,fixed_k_dense_tsk|p=7|r=none|a=1|k=8,7,,1.0,8,64,0.1435222281604984,0.1435222281604984,42.27495797346671,2072.294122185416,2338.946431220211,2255.0675169467418,1732.789795535299,2255.0675169467418,1732.789795535299,2606.8057423174446,0.08364576542037348,0.0,0.0
pjme,dense_tsk,dense_tsk|p=28|r=2.5|a=0.0001|k=1,28,2.5,0.0001,1,29,0.10279200801892899,0.10279200801892899,15.930304228795865,1928.9896821026935,2149.2434476370295,2139.2409866882617,1615.875982933107,2139.2409866882617,1615.875982933107,2426.914607962932,0.077873516502414,0.0,0.0
