zone,candidate_id,family,lag,radius,ridge_alpha,rule_count,consequent_dimension,validation_rmse,validation_mae,clip_bound_scaled,clip_lower_original,clip_upper_original,certification_target_clipping_rate,certificate_sample_size,selection_uses_test,certificate_uses_test,prior_scale,posterior_ratio,empirical_gibbs_risk,gaussian_kl,structure_kl,prior_scale_penalty,total_kl,temperature,certificate,certificate_untruncated,effective_rule_count,minimum_hard_rule_support,maximum_hard_rule_support,mean_active_rules,maximum_active_rules,rule_usage_entropy,realized_covering_radius,validation_rmse_raw,validation_mae_raw,validation_rmse_clipped,validation_mae_clipped,validation_weighted_cost,validation_normalized_weighted_cost,validation_target_clipping_rate,validation_forecast_clipping_rate,validation_block_rmse_improvements,validation_block_cost_improvements,validation_rmse_nonnegative_blocks,validation_cost_nonnegative_blocks,validation_worst_block_rmse_improvement,validation_worst_block_cost_improvement,seasonal_validation_rmse,seasonal_validation_mae,seasonal_validation_weighted_cost,seasonal_validation_normalized_weighted_cost,validation_rmse_improvement_vs_fallback,validation_cost_improvement_vs_fallback
pjme,ridge|p=7|r=none|a=0.0001|k=1,ridge,7,,0.0001,1,8,2049.0547070327243,1554.7924869260241,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,4.0,1.0,0.00913250073825225,1.3100860071877298,3.8066624897703196,1.6094379124341003,6.72618640939215,0.25,0.07611649661995332,0.07611649661995332,1,474,474,1.0,1,0.0,,2049.0547070327243,1554.7924869260248,2049.0547070327243,1554.7924869260248,2319.358186115978,0.07411683496391809,0.0,0.0,"[0.46526979119433887, 0.5757832430120772, 0.3798048508179628, 0.4903771193670157]","[0.47144587191323123, 0.5419976769103744, 0.419673613838283, 0.5057643734963768]",4,4,0.3798048508179628,0.419673613838283,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.5096084399300721,0.49437264368667455
pjme,ridge|p=7|r=none|a=0.001|k=1,ridge,7,,0.001,1,8,2049.0542412457135,1554.792210793866,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,4.0,1.0,0.009132298041781757,1.3101697676361785,3.8066624897703196,1.6094379124341003,6.726270169840599,0.25,0.07611652594688573,0.07611652594688573,1,474,474,1.0,1,0.0,,2049.0542412457135,1554.7922107938664,2049.0542412457135,1554.7922107938664,2319.35769556902,0.07411681928812117,0.0,0.0,"[0.46526953193994575, 0.5757832850869725, 0.3798060154594047, 0.49037695585338453]","[0.4714457174016954, 0.5419973828121963, 0.4196755068581481, 0.505763859778182]",4,4,0.3798060154594047,0.4196755068581481,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.5096085514048991,0.49437275062744934
pjme,ridge|p=7|r=none|a=0.01|k=1,ridge,7,,0.01,1,8,2049.049592560318,1554.7894494639752,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,4.0,1.0,0.009130272144726807,1.311007219235446,3.8066624897703196,1.6094379124341003,6.727107621439866,0.25,0.07611681986035507,0.07611681986035507,1,474,474,1.0,1,0.0,,2049.0495925603186,1554.7894494639752,2049.0495925603186,1554.7894494639752,2319.352790182498,0.07411666253280608,0.0,0.0,"[0.4652669379095076, 0.5757837039104066, 0.37981765727675726, 0.49037531904045945]","[0.4714441729109591, 0.5419944422613818, 0.41969443379544097, 0.5057587239780984]",4,4,0.37981765727675726,0.41969443379544097,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.5096096639550303,0.4943738200170907
pjme,ridge|p=7|r=none|a=0.1|k=1,ridge,7,,0.1,1,8,2049.004020924593,1554.7679750339794,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,4.0,1.0,0.009110119355442824,1.3193664160501637,3.8066624897703196,1.6094379124341003,6.735466818254584,0.25,0.07611982274091796,0.07611982274091796,1,474,474,1.0,1,0.0,,2049.0040209245935,1554.76797503398,2049.0040209245935,1554.76797503398,2319.3129541543162,0.07411538954256935,0.0,0.0,"[0.4652408495483405, 0.5757877002619582, 0.3799336171188802, 0.4903587839925787]","[0.47142879022022716, 0.5419650796912202, 0.4198728815668196, 0.5057075038634877]",4,4,0.3799336171188802,0.4198728815668196,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.5096205704210516,0.49438250439612974
pjme,ridge|p=7|r=none|a=1|k=1,ridge,7,,1.0,1,8,2048.6366749121794,1554.6651580189048,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,4.0,1.0,0.008918656597348286,1.4013995877878682,3.8066624897703196,1.6094379124341003,6.817499989992289,0.25,0.07615559868569793,0.07615559868569793,1,474,474,1.0,1,0.0,,2048.63667491218,1554.6651580189052,2048.63667491218,1554.6651580189052,2319.083420427681,0.07410805461972841,0.0,0.0,"[0.46496573528719487, 0.5758091239780214, 0.38104871749676633, 0.49017745895913967]","[0.47128094788031544, 0.5416755945175171, 0.421434281453225, 0.5052087978595493]",4,4,0.38104871749676633,0.421434281453225,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.5097084857819714,0.49443254346817905
pjme,fixed_k_dense_tsk|p=7|r=none|a=0.0001|k=8,fixed_k_dense_tsk,7,,0.0001,8,64,2098.4837236549247,1580.2322301307336,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,4.0,0.3,0.019306606459212186,59.143434297918546,9.347926034928745,1.6094379124341003,70.1007982452814,0.5,0.18745007508688993,0.18745007508688993,8,53,540,3.9245152354570636,7,0.8293377529743968,1.0969802898381273,2098.4837236549142,1580.232230130724,2098.4837236549142,1580.232230130724,2359.068713661838,0.07538581473343588,0.0,0.0,"[0.4415009908849501, 0.5627854953897459, 0.3963136717177457, 0.47170983038577136]","[0.46444458904762054, 0.5143688816845801, 0.4345672299733094, 0.505495777816476]",4,4,0.3963136717177457,0.4345672299733094,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.49777880332208724,0.48571562417972
pjme,fixed_k_dense_tsk|p=7|r=none|a=0.001|k=8,fixed_k_dense_tsk,7,,0.001,8,64,2098.4223833549763,1580.194582217433,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,4.0,0.3,0.0187597209527532,59.105055023836414,9.347926034928745,1.6094379124341003,70.06241897119926,0.5,0.1868500326911205,0.1868500326911205,8,53,540,3.9245152354570636,7,0.8293377529743968,1.0969802898381273,2098.4223833549677,1580.1945822174248,2098.4223833549677,1580.1945822174248,2359.0160936784773,0.07538413322229806,0.0,0.0,"[0.441504766498768, 0.5628151525393342, 0.3963177158818878, 0.4717124367712602]","[0.46444467569511966, 0.514402184906431, 0.43456836625177486, 0.5054929433053863]",4,4,0.3963177158818878,0.43456836625177486,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.4977934836355424,0.4857270955010688
pjme,fixed_k_dense_tsk|p=7|r=none|a=0.01|k=8,fixed_k_dense_tsk,7,,0.01,8,64,2097.816451397409,1579.820915940625,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,4.0,0.3,0.015533004667803814,58.855206611160085,9.347926034928745,1.6094379124341003,69.81257055852294,0.5,0.1832772659731014,0.1832772659731014,8,53,540,3.9245152354570636,7,0.8293377529743968,1.0969802898381273,2097.8164513974,1579.8209159406163,2097.8164513974,1579.8209159406163,2358.4944229247994,0.07536746284107479,0.0,0.0,"[0.44154222018182887, 0.5631079867133328, 0.39635806394513384, 0.47173811719965364]","[0.4644456479451719, 0.5147321801550676, 0.4345801065267617, 0.5054645920896427]",4,4,0.39635806394513384,0.4345801065267617,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.497938498757368,0.4858408213609326
pjme,fixed_k_dense_tsk|p=7|r=none|a=0.1|k=8,fixed_k_dense_tsk,7,,0.1,8,64,2092.435211079808,1576.3462459379853,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,2.0,1.0,0.023967945963155397,40.39972217673304,9.347926034928745,1.6094379124341003,51.357086124095886,0.5,0.16615059447838784,0.16615059447838784,8,53,540,3.9245152354570636,7,0.8293377529743968,1.0969802898381273,2092.4352110798004,1576.3462459379762,2092.4352110798004,1576.3462459379762,2353.6946046382086,0.07521408103832712,0.0,0.0,"[0.44188805699853834, 0.5656982442890528, 0.39675084194476373, 0.4719590787109134]","[0.4644636659843039, 0.5177544090195227, 0.434730482628026, 0.5051806041547084]",4,4,0.39675084194476373,0.434730482628026,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.4992263681468,0.4868871967959823
pjme,fixed_k_dense_tsk|p=7|r=none|a=1|k=8,fixed_k_dense_tsk,7,,1.0,8,64,2072.2941221854203,1563.7828945367817,4.309526253904989,12446.07892863599,50523.074563484886,0.0,1444,False,False,2.0,1.0,0.013918704507633226,31.317594026103865,9.347926034928745,1.6094379124341003,42.27495797346671,0.5,0.1435222281604984,0.1435222281604984,8,53,540,3.9245152354570636,7,0.8293377529743968,1.0969802898381273,2072.294122185416,1563.7828945367767,2072.294122185416,1563.7828945367767,2338.946431220211,0.07474279206632427,0.0,0.0,"[0.44330641315000274, 0.5753282525264447, 0.3994262044902181, 0.4720814610408062]","[0.46412958354774314, 0.5279926127172822, 0.43711462034763127, 0.5015485639713]",4,4,0.3994262044902181,0.43711462034763127,4178.405327246124,3066.8982145007803,4587.089992572961,0.1465839101434805,0.5040466494065069,0.49010234484014037
