process,family,lag,radius,candidates,mean_rule_count,mean_dimension,mean_validation_rmse,mean_gaussian_kl,mean_total_kl,mean_certificate
ar2,dense_tsk,3,1.25,25,10.2,40.8,0.8687151306940989,29.478423472704584,45.85393109576435,0.1891226701621936
ar2,dense_tsk,3,1.5,25,7.4,29.6,0.8625285716342816,18.648660460639697,33.08335597813163,0.16464182433667596
ar2,dense_tsk,3,1.75,25,4.6,18.4,0.8573260501336571,5.89890891290677,18.39279232483085,0.14395181558981074
ar2,dense_tsk,3,2.0,25,3.2,12.8,0.8527076379207975,4.043711912657239,15.567189271797396,0.13249712714578665
ar2,dense_tsk,3,2.5,25,1.0,4.0,0.846802546090216,0.2885223000830649,10.287075861991344,0.11540367721724565
ar2,dense_tsk,3,3.0,25,1.0,4.0,0.846802546090216,0.2885223000830649,10.287075861991344,0.11540367721724565
ar2,dense_tsk,3,4.0,25,1.0,4.0,0.846802546090216,0.2885223000830649,10.287075861991344,0.11540367721724565
ar2,dense_tsk,3,5.0,25,1.0,4.0,0.846802546090216,0.2885223000830649,10.287075861991344,0.11540367721724565
ar2,dense_tsk,5,1.5,25,7.6,45.6,0.8677039127236621,11.169455988881671,25.742780942485588,0.17987566790256454
ar2,dense_tsk,5,1.75,25,3.6,21.6,0.8554588621215679,6.016818584738448,17.817554816102582,0.1422202970044226
ar2,dense_tsk,5,2.0,25,1.6,9.6,0.8533414243399077,2.4485840357159216,12.863025905960166,0.12376431288162591
ar2,dense_tsk,5,2.5,25,1.0,6.0,0.8488099744345368,1.2467947243712378,11.245348286279516,0.11798667468839413
ar2,dense_tsk,5,3.0,25,1.0,6.0,0.8488099744345368,1.2467947243712378,11.245348286279516,0.11798667468839413
ar2,dense_tsk,5,4.0,25,1.0,6.0,0.8488099744345368,1.2467947243712378,11.245348286279516,0.11798667468839413
ar2,dense_tsk,5,5.0,25,1.0,6.0,0.8488099744345368,1.2467947243712378,11.245348286279516,0.11798667468839413
ar2,dense_tsk,10,1.5,25,6.6,72.6,0.880681142550509,14.956233358116142,28.836411131160112,0.19584108205346873
ar2,dense_tsk,10,1.75,25,1.6,17.6,0.8555372212955525,4.4175502347167255,14.831992104960971,0.1287855334872057
ar2,dense_tsk,10,2.0,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,dense_tsk,10,2.5,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,dense_tsk,10,3.0,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,dense_tsk,10,4.0,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,dense_tsk,10,5.0,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,dense_tsk,15,1.5,25,6.2,99.2,0.972124378179096,30.570913932440398,44.17383283326039,0.22091202353508774
ar2,dense_tsk,15,1.75,25,1.4,22.4,0.8611559226221503,3.7765110162038305,14.052323450336086,0.1327333124406227
ar2,dense_tsk,15,2.0,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
ar2,dense_tsk,15,2.5,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
