process,seed,candidate_id,family,lag,radius,ridge_alpha,rule_count,consequent_dimension,validation_rmse_scaled,validation_mae_scaled,validation_rmse_original,validation_mae_original,clip_bound_scaled,certification_target_clipping_rate,certificate_sample_size,selection_uses_test,certificate_uses_test,localized_prior_scale,localized_posterior_ratio,localized_empirical_gibbs_risk,localized_gaussian_kl,localized_structure_kl,localized_prior_scale_penalty,localized_prior_variant_penalty,localized_total_kl,localized_temperature_familywise,localized_certificate_familywise,localized_certificate_familywise_untruncated,localized_temperature_pointwise,localized_certificate_pointwise,localized_certificate_pointwise_untruncated,zero_mean_prior_scale,zero_mean_posterior_ratio,zero_mean_empirical_gibbs_risk,zero_mean_gaussian_kl,zero_mean_structure_kl,zero_mean_prior_scale_penalty,zero_mean_prior_variant_penalty,zero_mean_total_kl,zero_mean_temperature_familywise,zero_mean_certificate_familywise,zero_mean_certificate_familywise_untruncated,zero_mean_temperature_pointwise,zero_mean_certificate_pointwise,zero_mean_certificate_pointwise_untruncated,effective_rule_count,minimum_hard_rule_support,maximum_hard_rule_support,mean_active_rules,maximum_active_rules,rule_usage_entropy,realized_covering_radius,requested_fixed_k
ar2,3001,dense_tsk|p=3|r=1.25|a=0.0001|k=11,dense_tsk,3,1.25,0.0001,11,44,0.8607471562396796,0.6891761962750023,0.1946743972762773,0.15587035014221357,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.041515477065033814,27.137474570060196,14.627440274513686,1.6094379124341003,0.6931471805599453,44.06749993756793,0.5,0.1911091255017207,0.1911091255017207,0.5,0.18544046319895044,0.18544046319895044,1.0,1.0,0.041515477065033814,17.69401571381916,14.627440274513686,1.6094379124341003,0.6931471805599453,34.624041081326894,0.5,0.17537002740798563,0.17537002740798563,0.5,0.16970136510521538,0.16970136510521538,11,52,264,8.6125,11,0.967863481096005,,
ar2,3001,dense_tsk|p=3|r=1.25|a=0.001|k=11,dense_tsk,3,1.25,0.001,11,44,0.860741593591292,0.6891732862034853,0.19467313917717785,0.15586969197399947,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.04148390151134507,27.12774835474716,14.627440274513686,1.6094379124341003,0.6931471805599453,44.05777372225489,0.5,0.1910613395891769,0.1910613395891769,0.5,0.18539267728640663,0.18539267728640663,1.0,1.0,0.04148390151134507,17.700211133913793,14.627440274513686,1.6094379124341003,0.6931471805599453,34.63023650142152,0.5,0.1753487775544546,0.1753487775544546,0.5,0.16968011525168436,0.16968011525168436,11,52,264,8.6125,11,0.967863481096005,,
ar2,3001,dense_tsk|p=3|r=1.25|a=0.01|k=11,dense_tsk,3,1.25,0.01,11,44,0.8606869488563101,0.689145313415307,0.1946607802274331,0.15586336539407497,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.04117722647024775,27.032676235415018,14.627440274513686,1.6094379124341003,0.6931471805599453,43.96270160292275,0.5,0.19059621101585933,0.19059621101585933,0.5,0.18492754871308908,0.18492754871308908,1.0,1.0,0.04117722647024775,17.761189793531862,14.627440274513686,1.6094379124341003,0.6931471805599453,34.691215161039594,0.5,0.17514373361272073,0.17514373361272073,0.5,0.1694750713099505,0.1694750713099505,11,52,264,8.6125,11,0.967863481096005,,
ar2,3001,dense_tsk|p=3|r=1.25|a=0.1|k=11,dense_tsk,3,1.25,0.1,11,44,0.8602251198319277,0.6889060044783896,0.194556328779276,0.15580924111063177,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.038779040875402064,26.260209326845736,14.627440274513686,1.6094379124341003,0.6931471805599453,43.190234694353464,0.5,0.18691058057339818,0.18691058057339818,0.5,0.1812419182706279,0.1812419182706279,1.0,1.0,0.038779040875402064,18.290866962718887,14.627440274513686,1.6094379124341003,0.6931471805599453,35.22089233022662,0.5,0.17362834329985344,0.17362834329985344,0.5,0.1679596809970832,0.1679596809970832,11,52,264,8.6125,11,0.967863481096005,,
ar2,3001,dense_tsk|p=3|r=1.25|a=1|k=11,dense_tsk,3,1.25,1.0,11,44,0.8588055324356776,0.6882891368982439,0.1942352619959092,0.15566972473408194,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.030992482694823853,23.604482294511538,14.627440274513686,1.6094379124341003,0.6931471805599453,40.534507662019266,0.5,0.17469781067226298,0.17469781067226298,0.5,0.1690291483694927,0.1690291483694927,1.0,1.0,0.030992482694823853,20.823952100957758,14.627440274513686,1.6094379124341003,0.6931471805599453,37.75397746846549,0.5,0.17006359368300666,0.17006359368300666,0.5,0.16439493138023642,0.16439493138023642,11,52,264,8.6125,11,0.967863481096005,,
ar2,3001,dense_tsk|p=3|r=1.5|a=0.0001|k=8,dense_tsk,3,1.5,0.0001,8,32,0.8467570981364424,0.6769606178421245,0.19151027862730505,0.1531075639377368,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.033022796824220595,14.58438950201825,12.54799873283385,1.6094379124341003,0.6931471805599453,29.434973327846144,0.5,0.15822890091137118,0.15822890091137118,0.5,0.1525602386086009,0.1525602386086009,1.0,1.0,0.033022796824220595,23.47968578484096,12.54799873283385,1.6094379124341003,0.6931471805599453,38.33026961066886,0.5,0.1730543947160757,0.1730543947160757,0.5,0.16738573241330545,0.16738573241330545,8,76,323,6.6425,8,0.9646254660302999,,
ar2,3001,dense_tsk|p=3|r=1.5|a=0.001|k=8,dense_tsk,3,1.5,0.001,8,32,0.8467552287002346,0.6769580052788846,0.1915098558186273,0.15310697305669774,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.03301328154297477,14.57735655959135,12.54799873283385,1.6094379124341003,0.6931471805599453,29.427940385419245,0.5,0.15820766405941383,0.15820766405941383,0.5,0.1525390017566436,0.1525390017566436,1.0,1.0,0.03301328154297477,23.483756753162627,12.54799873283385,1.6094379124341003,0.6931471805599453,38.33434057899052,0.5,0.17305166438203262,0.17305166438203262,0.5,0.16738300207926238,0.16738300207926238,8,76,323,6.6425,8,0.9646254660302999,,
ar2,3001,dense_tsk|p=3|r=1.5|a=0.01|k=8,dense_tsk,3,1.5,0.01,8,32,0.8467366631872701,0.6769320000282776,0.1915056568735361,0.15310109147294662,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.03291968237765689,14.508740261263055,12.54799873283385,1.6094379124341003,0.6931471805599453,29.35932408709095,0.5,0.15799970439688213,0.15799970439688213,0.5,0.15233104209411188,0.15233104209411188,1.0,1.0,0.03291968237765689,23.524068739250875,12.54799873283385,1.6094379124341003,0.6931471805599453,38.37465256507877,0.5,0.17302525186019518,0.17302525186019518,0.5,0.1673565895574249,0.1673565895574249,8,76,323,6.6425,8,0.9646254660302999,,
ar2,3001,dense_tsk|p=3|r=1.5|a=0.1|k=8,dense_tsk,3,1.5,0.1,8,32,0.8465631669485478,0.6766833986870471,0.19146641738786585,0.15304486553491675,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.03211179823889547,13.959926343977406,12.54799873283385,1.6094379124341003,0.6931471805599453,28.8105101698053,0.5,0.15627713039597796,0.15627713039597796,0.5,0.15060846809320771,0.15060846809320771,1.0,1.0,0.03211179823889547,23.89288718569781,12.54799873283385,1.6094379124341003,0.6931471805599453,38.743471011525706,0.5,0.17283206513217864,0.17283206513217864,0.5,0.1671634028294084,0.1671634028294084,8,76,323,6.6425,8,0.9646254660302999,,
ar2,3001,dense_tsk|p=3|r=1.5|a=1|k=8,dense_tsk,3,1.5,1.0,8,32,0.8455951153591192,0.6749576329272299,0.19124747404505232,0.15265455067102554,3.011019204129955,0.0075,1200,False,False,1.0,1.0,0.028452252647240748,12.432648700922138,12.54799873283385,1.6094379124341003,0.6931471805599453,27.283232526750034,0.5,0.15007212206589782,0.15007212206589782,0.5,0.14440345976312755,0.14440345976312755,2.0,1.0,0.0517280362366936,6.512342100846864,12.54799873283385,1.6094379124341003,0.6931471805599453,21.36292592667476,0.5,0.16348072798855853,0.16348072798855853,0.5,0.15781206568578826,0.15781206568578826,8,76,323,6.6425,8,0.9646254660302999,,
