dataset,series,family,candidate,status,error,converged,warnings,aic,bic,validation_rmse,validation_mae,validation_weighted_cost,runtime_seconds,spec_json
pjm,aep,SARIMA,sarima_100_011,ok,,True,,25026.38449613642,25042.42059065767,777.9345072706661,566.573060367728,848.9282290278587,0.9333431609998116,"{""name"": ""sarima_100_011"", ""order"": [1, 0, 0], ""seasonal_order"": [0, 1, 1]}"
pjm,aep,SARIMA,sarima_011_011,ok,,True,,24961.450095649503,24977.48231420122,759.0749781228548,533.509276594279,799.9867479005619,1.161350154000047,"{""name"": ""sarima_011_011"", ""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1]}"
pjm,aep,SARIMA,sarima_110_011,ok,,True,,25029.297444307944,25045.331601470392,776.9008836287933,548.92963817357,824.1221098783765,0.9443005139996784,"{""name"": ""sarima_110_011"", ""order"": [1, 1, 0], ""seasonal_order"": [0, 1, 1]}"
pjm,aep,SARIMA,sarima_101_011,ok,,True,,24874.69713032515,24896.07600654175,725.1430650753567,534.4466903253135,795.381976967371,0.9954481230001876,"{""name"": ""sarima_101_011"", ""order"": [1, 0, 1], ""seasonal_order"": [0, 1, 1]}"
pjm,aep,SARIMA,sarima_200_100,ok,,True,,25603.153394605983,25629.89954872905,886.0112818649491,689.385606011754,970.3786362860556,0.430006449999837,"{""name"": ""sarima_200_100"", ""order"": [2, 0, 0], ""seasonal_order"": [1, 0, 0]}"
pjm,aep,ETS,ets_level,ok,,True,,26360.07139768788,26376.136403451197,1069.066346557829,803.4540011917794,1204.2819865668412,0.029338471000301,"{""damped_trend"": false, ""name"": ""ets_level"", ""seasonal"": false, ""trend"": false}"
pjm,aep,ETS,ets_holt,ok,,True,,26364.236190529227,26391.011200134755,1069.118386107521,803.4564107473536,1204.429021561017,0.3436355660001027,"{""damped_trend"": false, ""name"": ""ets_holt"", ""seasonal"": false, ""trend"": true}"
pjm,aep,ETS,ets_damped_holt,ok,,True,,26366.98022234691,26399.11023387354,1069.0911194143785,803.4536610162282,1204.2816517146937,0.2160609239999757,"{""damped_trend"": true, ""name"": ""ets_damped_holt"", ""seasonal"": false, ""trend"": true}"
pjm,aep,ETS,ets_seasonal,ok,,True,overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp,25322.016281776232,25375.566300987284,798.6385273112096,568.2368323894005,853.5235602339789,3.695909352000399,"{""damped_trend"": false, ""name"": ""ets_seasonal"", ""seasonal"": true, ""trend"": false}"
pjm,aep,ETS,ets_holt_winters,ok,,True,overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp,25325.919166076637,25390.179189129896,799.2728443995305,568.4583291663698,855.0537244657141,3.628036978000182,"{""damped_trend"": false, ""name"": ""ets_holt_winters"", ""seasonal"": true, ""trend"": true}"
