dataset,series,family,candidate,status,error,converged,warnings,aic,bic,validation_rmse,validation_mae,validation_weighted_cost,runtime_seconds,spec_json
pjm,dayton,SARIMA,sarima_100_011,ok,,True,,19177.73693077135,19193.7730252926,123.5488434802017,90.98026811073962,137.75871799253932,1.0231802209996204,"{""name"": ""sarima_100_011"", ""order"": [1, 0, 0], ""seasonal_order"": [0, 1, 1]}"
pjm,dayton,SARIMA,sarima_011_011,ok,,True,,19201.180047974885,19217.212266526603,125.19689551144315,87.53449351719668,131.22282100171907,1.318555232000108,"{""name"": ""sarima_011_011"", ""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1]}"
pjm,dayton,SARIMA,sarima_110_011,ok,,True,,19236.84025546992,19252.87441263237,125.85397004481915,88.82455080569096,133.19452132699305,1.1242694170000505,"{""name"": ""sarima_110_011"", ""order"": [1, 1, 0], ""seasonal_order"": [0, 1, 1]}"
pjm,dayton,SARIMA,sarima_101_011,ok,,True,,19074.59882791809,19095.97770413469,120.32807772359706,86.95322804386385,131.9564742114307,0.947352273999968,"{""name"": ""sarima_101_011"", ""order"": [1, 0, 1], ""seasonal_order"": [0, 1, 1]}"
pjm,dayton,SARIMA,sarima_200_100,ok,,True,,19933.00955444705,19959.755708570116,155.05633831786034,121.3666992864297,182.12270914135107,0.8213466140000492,"{""name"": ""sarima_200_100"", ""order"": [2, 0, 0], ""seasonal_order"": [1, 0, 0]}"
pjm,dayton,ETS,ets_level,ok,,True,,20814.967694798048,20831.032700561365,191.34606927744,142.52970633459742,213.37397974687502,0.03457627700026933,"{""damped_trend"": false, ""name"": ""ets_level"", ""seasonal"": false, ""trend"": false}"
pjm,dayton,ETS,ets_holt,ok,,True,,20819.133312973026,20845.908322578554,191.35649040632433,142.53771837155938,213.3224939226993,0.2711686520001422,"{""damped_trend"": false, ""name"": ""ets_holt"", ""seasonal"": false, ""trend"": true}"
pjm,dayton,ETS,ets_damped_holt,ok,,True,,20821.758989296475,20853.889000823106,191.35083510372306,142.53015731350646,213.37468141234902,0.29109034100019926,"{""damped_trend"": true, ""name"": ""ets_damped_holt"", ""seasonal"": false, ""trend"": true}"
pjm,dayton,ETS,ets_seasonal,ok,,True,,19442.657847103113,19496.207866314166,127.17414550803954,90.54818023766819,135.7968924173969,1.4893473189999895,"{""damped_trend"": false, ""name"": ""ets_seasonal"", ""seasonal"": true, ""trend"": false}"
pjm,dayton,ETS,ets_holt_winters,ok,,True,,19446.84251957053,19511.102542623794,127.13784138516102,90.50718260586277,135.77948110117157,2.2241534139998294,"{""damped_trend"": false, ""name"": ""ets_holt_winters"", ""seasonal"": true, ""trend"": true}"
