dataset,series,family,candidate,status,error,converged,warnings,aic,bic,validation_rmse,validation_mae,validation_weighted_cost,runtime_seconds,spec_json
pjm,pjme,SARIMA,sarima_100_011,ok,,True,,27932.025157895667,27948.06125241692,1995.8889305790424,1434.9097369720037,2157.159615235039,0.9581414170002063,"{""name"": ""sarima_100_011"", ""order"": [1, 0, 0], ""seasonal_order"": [0, 1, 1]}"
pjm,pjme,SARIMA,sarima_011_011,ok,,True,,27861.51304047966,27877.545259031376,1907.3574234841417,1347.4981463425459,2022.7215194349078,1.3282450229999085,"{""name"": ""sarima_011_011"", ""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1]}"
pjm,pjme,SARIMA,sarima_110_011,ok,,True,,27896.24044980172,27912.27460696417,1949.1536545561548,1386.5268362607328,2080.6219358776284,0.809596393999982,"{""name"": ""sarima_110_011"", ""order"": [1, 1, 0], ""seasonal_order"": [0, 1, 1]}"
pjm,pjme,SARIMA,sarima_101_011,ok,,True,,27763.185768782954,27784.564644999555,1892.017030071938,1367.322613223422,2056.7409778964384,0.9600031879999733,"{""name"": ""sarima_101_011"", ""order"": [1, 0, 1], ""seasonal_order"": [0, 1, 1]}"
pjm,pjme,SARIMA,sarima_200_100,ok,,True,,28201.53934843959,28228.285502562656,2079.11438155316,1581.3967758677609,2332.348470020921,0.34803321200024584,"{""name"": ""sarima_200_100"", ""order"": [2, 0, 0], ""seasonal_order"": [1, 0, 0]}"
pjm,pjme,ETS,ets_level,ok,,True,,28879.66914425688,28895.7341500202,2321.3610682057697,1779.8030668952144,2668.086643967114,0.07970195999996577,"{""damped_trend"": false, ""name"": ""ets_level"", ""seasonal"": false, ""trend"": false}"
pjm,pjme,ETS,ets_holt,ok,,True,,28883.826121629507,28910.601131235035,2321.4765937195907,1779.8241516994487,2668.3858602330365,0.3966866610003308,"{""damped_trend"": false, ""name"": ""ets_holt"", ""seasonal"": false, ""trend"": true}"
pjm,pjme,ETS,ets_damped_holt,ok,,True,,28884.452842538343,28916.582854064975,2321.4140464367606,1779.808976830672,2668.095718142058,0.19469239299996843,"{""damped_trend"": true, ""name"": ""ets_damped_holt"", ""seasonal"": false, ""trend"": true}"
pjm,pjme,ETS,ets_seasonal,ok,,True,,28423.060476009556,28476.610495220608,2037.4698573293203,1490.5452720817773,2237.5967243054533,0.9089122929999576,"{""damped_trend"": false, ""name"": ""ets_seasonal"", ""seasonal"": true, ""trend"": false}"
pjm,pjme,ETS,ets_holt_winters,ok,,True,overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp | overflow encountered in exp,28424.159685131977,28488.41970818524,2037.1247606890652,1489.9218654440137,2240.5715510977443,1.7184279699999934,"{""damped_trend"": false, ""name"": ""ets_holt_winters"", ""seasonal"": true, ""trend"": true}"
